Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC
20,'A2421',24,27,27,78,'06122',3,2011,3,2011,85,'SATF06000P','Tecnici-Industriali',2016,98,0,0,'Cessato','Laureato',3
21,'A2219',30,6,48,84,'06122',3,2011,3,2011,77,'SAPS08000T','Scientifica',2017,90,0,0,'Cessato','Laureato',4
22,'A2679',24,42,12,78,'06122',3,2011,3,2011,82,'SAPS120003','Scientifica',?,?,0,0,'Sospeso','Trasferimento-Uscita',3
23,'A2850',54,60,66,180,'06122',3,2011,3,2011,100,'SAPS18000P','Scientifica',2013,111,0,0,'Cessato','Laureato',0
24,'A4617',48,54,78,180,'06122',3,2011,3,2011,100,'SAPC00101P','Scientifica',2013,107,0,0,'Cessato','Laureato',0
25,'A128',42,36,42,120,'06122',3,2011,3,2011,100,'SAPS10000T','Scientifica',2018,98,0,0,'Cessato','Laureato',5
26,'A3446',60,48,72,180,'06122',3,2011,3,2011,100,'AVPS12000T','Scientifica',2013,111,0,0,'Cessato','Laureato',0
27,'A513',54,66,60,180,'06122',3,2011,3,2011,85,'NAPS110002','Scientifica',2013,111,0,0,'Cessato','Laureato',0
28,'A2835',33,9,18,60,'06122',3,2011,3,2011,97,'BNTD01401A','Scientifica',?,?,0,0,'Attivo','Immatricolazione',5
29,'A2063',33,15,36,84,'06122',3,2011,3,2011,79,'SAPS06000L','Scientifica',2016,98,0,0,'Cessato','Laureato',3
30,'A4271',6,6,?,12,'06122',3,2011,2,2011,75,'SAPS11000C','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
31,'A4743',54,60,66,180,'06122',3,2011,3,2011,97,'AVPC05000N','Classica',2013,111,0,0,'Cessato','Laureato',0
32,'A2644',42,54,69,165,'06122',3,2011,3,2011,85,'SATF06000P','Professionale-Industriale',2014,107,0,0,'Cessato','Laureato',1
33,'A4869',54,60,66,180,'06122',3,2011,3,2011,100,'NAPS12001N','Scientifica',2013,111,0,0,'Cessato','Laureato',0
34,'A4135',36,12,12,60,'06122',3,2011,3,2011,72,'SATF06000P','Tecnici-Industriali',?,?,0,0,'Cessato','Rinuncia',3
35,'A2955',42,48,51,141,'06122',3,2011,3,2011,85,'SAPS10000T','Scientifica',2014,104,0,0,'Cessato','Laureato',1
36,'A3874',54,48,30,132,'06122',3,2011,3,2011,100,'SAPS09000C','Scientifica',2014,106,1,0,'Cessato','Laureato',1
37,'A4192',27,57,30,114,'06122',3,2011,3,2011,100,'SAPS18000P','Scientifica',2015,98,0,0,'Cessato','Laureato',2
38,'A971',39,12,33,84,'06122',3,2011,3,2011,83,'SAPS02401E','Scientifica',2017,94,0,0,'Cessato','Laureato',4
39,'A898',?,?,?,?,'06122',3,2011,1,2011,100,'SAPS18000P','Scientifica',?,?,0,0,'Cessato','Errata-Immatricolazione',0
40,'A2995',6,?,?,6,'06122',3,2011,1,2011,88,'SAPS05701T','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
41,'A4313',42,30,24,96,'06122',3,2011,3,2011,100,'SAPS18000P','Scientifica',2017,98,0,0,'Cessato','Laureato',4
42,'A2102',?,15,?,15,'06122',3,2011,3,2011,61,'SAPS05701T','Scientifica',?,?,0,0,'Cessato','Rinuncia',4
43,'A3439',33,39,36,108,'06122',3,2011,3,2011,98,'BNTD01401A','Tecnici-Industriali',2015,100,0,0,'Cessato','Laureato',2
44,'A1670',42,24,48,114,'06122',3,2011,3,2011,82,'AVVC01000E','Classica',2015,99,0,0,'Cessato','Laureato',2
45,'A4768',48,48,51,147,'06122',3,2011,3,2011,84,'SAPS03000R','Scientifica',2015,103,0,0,'Cessato','Laureato',2
46,'A1475',45,21,36,102,'06122',3,2011,3,2011,84,'AVPS12000T','Scientifica',2017,94,0,0,'Cessato','Laureato',4
47,'A3905',42,24,48,114,'06122',3,2011,3,2011,100,'SAPS020006','Scientifica',2014,95,0,0,'Cessato','Laureato',1
48,'A4354',60,42,78,180,'06122',3,2011,3,2011,100,'AVPS12000T','Scientifica',2013,106,0,0,'Cessato','Laureato',0
49,'A3554',12,?,?,12,'06122',3,2011,2,2011,88,'SAPC00101P','Classica',?,?,0,0,'Cessato','Rinuncia',0
50,'A1050',42,36,57,135,'06122',3,2011,3,2011,85,'SAPS10000T','Scientifica',2014,102,0,0,'Cessato','Laureato',1
51,'A4864',15,6,?,21,'06122',3,2011,3,2011,92,'SARA010038','Agrotecnico',?,?,0,0,'Cessato','Decadenza',0
52,'A3455',6,?,?,6,'06122',3,2011,1,2011,100,'SAPS020006','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
53,'A4519',?,6,?,6,'06122',3,2011,3,2010,60,'SAPS170004','Scientifica',?,?,0,0,'Cessato','Rinuncia',4
54,'A5',48,42,51,141,'06122',3,2011,3,2010,86,'SAPS120003','Scientifica',2014,98,0,0,'Cessato','Laureato',1
55,'A575',6,?,?,6,'06122',3,2011,1,2011,76,'SAPM050003','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
56,'A3591',15,?,?,15,'06122',3,2011,1,2011,91,'SAPS01000G','Scientifica',?,?,0,0,'Cessato','Conseguimento_titolo_presso_altro_ateneo',0
57,'A4747',42,24,12,78,'06122',3,2011,3,2011,92,'SAPS18000P','Scientifica',?,?,0,0,'Attivo','Immatricolazione',5
58,'A2091',?,?,?,?,'06122',3,2011,1,2011,89,'AVRI00701R','Professionale-Industriale',?,?,0,0,'Cessato','Rinuncia',0
59,'A1132',54,42,63,159,'06122',3,2011,3,2011,100,'SATF06000P','Tecnici-Industriali',2015,102,0,0,'Cessato','Laureato',2
60,'A2148',?,?,?,0,'06122',3,2011,1,2011,100,'SAPS11000C','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
61,'A684',?,?,?,0,'06122',3,2011,1,2011,82,'SAPS08000T','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
62,'A2607',?,?,?,0,'06122',3,2011,1,2011,97,'SAPC12000X','Classica',?,?,0,0,'Cessato','Rinuncia',0
63,'A669',?,?,?,?,'06122',3,2011,1,2011,89,'SAPC03000N','Classica',?,?,0,0,'Cessato','Rinuncia',0
64,'A1633',54,54,72,180,'06122',3,2011,3,2011,100,'SAPC12000X','Classica',2013,111,0,0,'Cessato','Laureato',0
65,'A447',?,?,?,?,'06122',3,2011,1,2011,85,'9999999','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
66,'A659',?,?,?,0,'06122',3,2011,2,2011,68,'AVPM040007','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
67,'A3675',21,6,?,27,'06122',3,2011,2,2011,86,'AVTL02802X','Geometra',?,?,0,0,'Sospeso','Trasferimento-Uscita',0
68,'A1553',?,?,?,?,'06122',3,2011,1,2011,60,'NAPS12000L','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
69,'A1551',42,54,51,147,'06122',3,2011,3,2011,100,'SAPS18000P','Scientifica',2014,108,0,0,'Cessato','Laureato',1
70,'A401',54,36,69,159,'06122',3,2011,3,2011,95,'SAPS08000T','Scientifica',2014,96,0,0,'Cessato','Laureato',1
71,'A3501',?,?,?,0,'06122',3,2011,1,2011,73,'BNPS011013','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
72,'A2751',?,?,?,0,'06122',3,2011,1,2011,86,'SAPS11000C','Classica',?,?,0,0,'Cessato','Rinuncia',0
73,'A1411',54,54,69,177,'06122',3,2011,3,2011,100,'SAPC05000V','Linguistico',2014,108,0,0,'Cessato','Laureato',1
74,'A4607',39,45,42,126,'06122',3,2011,3,2011,70,'SAPC040008','Classica',2014,100,0,0,'Cessato','Laureato',1
75,'A1054',54,48,78,180,'06122',3,2011,3,2011,100,'SAPS09000C','Scientifica',2013,104,0,0,'Cessato','Laureato',0
76,'A2492',54,54,72,180,'06122',3,2011,3,2011,100,'AVPS02701R','Scientifica',2013,111,0,0,'Cessato','Laureato',0
77,'A1107',6,?,?,6,'06122',3,2011,2,2011,74,'AVPS12000T','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
78,'A11',48,42,42,132,'06122',3,2011,3,2011,93,'SAPC040008','Classica',2014,109,0,0,'Cessato','Laureato',1
79,'A4075',?,?,?,0,'06122',3,2011,1,2011,96,'NAPS110002','Scientifica',?,?,0,0,'Cessato','Errata-Immatricolazione',0
80,'A221',33,18,9,60,'06122',3,2011,3,2011,80,'SAPS09000C','Scientifica',?,?,0,0,'Attivo','Immatricolazione',5
81,'A1756',42,36,30,108,'06122',3,2011,3,2011,72,'SAPS18000P','Scientifica',2016,98,0,0,'Cessato','Laureato',3
82,'A4912',12,?,?,12,'06122',3,2011,2,2011,81,'SAPS08000T','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
83,'A1745',36,18,30,84,'06122',3,2011,3,2011,100,'SAPS020006','Scientifica',2018,95,0,0,'Cessato','Laureato',5
84,'A4100',?,?,?,?,'06122',3,2011,3,2009,80,'SATE06901B','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
85,'A3998',54,48,42,144,'06122',3,2011,3,2011,100,'SAPS09000C','Scientifica',2014,102,0,0,'Cessato','Laureato',1
86,'A2431',18,15,24,57,'06122',3,2011,3,2011,70,'SAPS06000L','Scientifica',?,?,0,0,'Attivo','Immatricolazione',5
87,'A2812',54,60,66,180,'06122',3,2011,3,2011,100,'SAPS04401Q','Scientifica',2013,111,0,0,'Cessato','Laureato',0
88,'A2065',48,36,24,108,'06122',3,2011,3,2011,78,'SAPS170004','Scientifica',2016,93,0,0,'Cessato','Laureato',3
89,'A3185',9,?,?,9,'06122',3,2011,1,2011,85,'9999999','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
90,'A737',27,27,36,90,'06122',3,2011,3,2011,87,'SAPS120003','Scientifica',2016,97,0,0,'Cessato','Laureato',3
91,'A827',18,48,36,102,'06122',3,2011,3,2011,80,'SAPS18000P','Scientifica',2016,94,0,0,'Cessato','Laureato',3
92,'A3461',?,9,18,27,'06122',3,2011,3,2009,92,'SAPS05701T','Scientifica',?,?,0,0,'Sospeso','Trasferimento-Uscita',3
93,'A4632',6,12,?,18,'06122',3,2011,2,2011,100,'SAPS020006','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
94,'A1008',15,?,9,24,'06122',3,2011,3,2008,60,'SAPS10000T','Scientifica',2016,90,0,0,'Cessato','Laureato',3
95,'A2379',24,18,36,78,'06122',3,2011,3,2011,100,'SAPS15000V','Scientifica',2017,97,0,0,'Cessato','Laureato',4
96,'A954',27,?,?,27,'06122',3,2011,2,2011,90,'SAPC00101P','Classica',?,?,0,0,'Cessato','Rinuncia',0
97,'A451',54,48,42,144,'06122',3,2011,3,2011,100,'SAPS06000L','Scientifica',2014,105,1,0,'Cessato','Laureato',1
98,'A3337',?,?,?,0,'06122',3,2011,1,2011,63,'SAPS120003','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
99,'A4611',33,33,36,102,'06122',3,2011,3,2011,82,'SAPS020006','Scientifica',2016,88,0,0,'Cessato','Laureato',3
100,'A4126',54,54,72,180,'06122',3,2011,3,2011,100,'NAPS160003','Scientifica',2013,111,0,0,'Cessato','Laureato',0
101,'A3571',?,?,?,0,'06122',3,2011,1,2011,81,'SAPS04000B','Scientifica',?,?,0,0,'Cessato','Decadenza',0
102,'A2069',54,42,63,159,'06122',3,2011,3,2011,87,'SAPS18000P','Scientifica',2014,101,0,0,'Cessato','Laureato',1
103,'A2066',?,?,?,?,'06122',3,2011,1,2011,94,'SAPS170004','Classica',?,?,0,0,'Cessato','Rinuncia',0
104,'A1295',18,?,?,18,'06122',3,2011,2,2011,91,'SAPS11000C','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
105,'A4130',?,?,?,0,'06122',3,2011,1,2011,90,'SAPS03601R','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
106,'A3833',?,?,?,?,'06122',3,2011,1,2011,62,'SAPS170004','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
107,'A3377',6,?,?,6,'06122',3,2011,1,2008,62,'SAPM03000T','Socio-Psico-Pedagogico',?,?,0,0,'Cessato','Decadenza',0
108,'A3885',?,?,?,?,'06122',3,2011,1,2011,64,'SATF06000P','Tecnici-Industriali',?,?,0,0,'Cessato','Decadenza',0
109,'A546',?,?,?,?,'06122',3,2011,1,2011,97,'SAPS11000C','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
110,'A523',?,?,?,?,'06122',3,2011,1,2011,65,'SAPS170004','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
111,'A853',?,?,?,0,'06122',3,2011,2,2010,76,'SAPS18000P','Scientifica',?,?,0,0,'Cessato','Decadenza',0
112,'A4941',15,?,?,15,'06122',3,2011,2,2010,73,'SAPC12000X','Classica',?,?,0,0,'Cessato','Rinuncia',0
113,'A1445',?,?,?,0,'06122',3,2011,1,2011,70,'NAPS01901L','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
114,'A2841',15,?,?,15,'06122',3,2011,1,2011,86,'SAPS18000P','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
115,'A4653',60,54,63,177,'06122',3,2012,3,2012,88,'NAPC19000Q','Scientifica',2015,111,0,0,'Cessato','Laureato',1
116,'A2495',54,60,66,180,'06122',3,2012,3,2012,100,'SAPS070007','Scientifica',2014,105,0,0,'Cessato','Laureato',0
117,'A1829',48,48,48,144,'06122',3,2012,3,2012,100,'AVPS12000T','Scientifica',2015,104,0,0,'Cessato','Laureato',1
118,'A673',54,42,63,159,'06122',3,2012,3,2012,95,'PZPM00201E','Scientifica',2015,102,0,0,'Cessato','Laureato',1
119,'A3460',27,27,42,96,'06122',3,2012,3,2011,75,'AVPC02000T','Scientifica',2016,104,0,0,'Cessato','Laureato',2
120,'A2002',45,18,9,72,'06122',3,2012,3,2007,76,'NATL00500X','Classica',2017,99,0,0,'Cessato','Laureato',3
121,'A3687',?,?,?,0,'06122',3,2012,1,2012,74,'AVPS12000T','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
122,'A4097',39,39,57,135,'06122',3,2012,3,2012,87,'SATD040007','ITIS-Informatica',2016,91,0,0,'Cessato','Laureato',2
123,'A3944',33,45,39,117,'06122',3,2012,3,2012,85,'SATF06000P','Tecnici-Industriali',2017,101,0,0,'Cessato','Laureato',3
124,'A204',?,?,?,0,'06122',3,2012,1,2011,92,'NAPC19000Q','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
125,'A789',33,33,42,108,'06122',3,2012,3,2012,74,'BNPS00401X','Scientifica',2017,92,0,0,'Cessato','Laureato',3
126,'A1805',54,30,39,123,'06122',3,2012,3,2011,91,'SAPM020007','Linguistico',2016,105,0,0,'Cessato','Laureato',2
127,'A2986',48,48,51,147,'06122',3,2012,3,2012,90,'SAPS120003','Scientifica',2015,104,0,0,'Cessato','Laureato',1
128,'A1571',60,60,60,180,'06122',3,2012,3,2012,100,'SAPC040008','Classica',2014,111,0,0,'Cessato','Laureato',0
129,'A3622',33,45,42,120,'06122',3,2012,3,2012,76,'AVPS02701R','Classica',2016,106,0,0,'Cessato','Laureato',2
130,'A4927',27,?,?,27,'06122',3,2012,3,2011,83,'SATF06000P','Tecnici-Industriali',?,?,0,0,'Cessato','Rinuncia',0
131,'A193',54,60,66,180,'06122',3,2012,3,2012,98,'SAPS120003','Scientifica',2014,104,0,0,'Cessato','Laureato',0
132,'A1988',?,?,?,0,'06122',3,2012,1,2012,95,'SAPC00101P','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
133,'A1955',54,54,72,180,'06122',3,2012,3,2012,100,'SAPS10000T','Scientifica',2014,111,0,0,'Cessato','Laureato',0
134,'A1083',45,45,81,171,'06122',3,2012,3,2011,95,'SAPS120003','Scientifica',2015,94,0,0,'Cessato','Laureato',1
135,'A3880',?,?,?,?,'06122',3,2012,1,2012,83,'SAPS020006','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
137,'A2896',51,15,36,102,'06122',3,2012,3,2012,90,'SAPS08000T','Scientifica',2017,97,0,0,'Cessato','Laureato',3
138,'A4972',27,39,36,102,'06122',3,2012,3,2012,82,'SAPS04401Q','Scientifica',2017,90,0,0,'Cessato','Laureato',3
139,'A255',21,18,33,72,'06122',3,2012,3,2012,87,'SAPM012019','Linguistico',?,?,0,0,'Attivo','Immatricolazione',4
140,'A3855',60,60,60,180,'06122',3,2012,3,2012,100,'SAPS09000C','Scientifica',2014,111,0,0,'Cessato','Laureato',0
141,'A3468',42,42,51,135,'06122',3,2012,3,2012,100,'PZPS01901V','Scientifica',2015,102,0,0,'Cessato','Laureato',1
142,'A3913',36,6,?,42,'06122',3,2012,3,2012,98,'SAPS10000T','Scientifica',?,?,0,0,'Cessato','Decadenza',0
143,'A687',54,66,60,180,'06122',3,2012,3,2012,100,'SAPS01000G','Scientifica',2014,101,0,0,'Cessato','Laureato',0
144,'A4811',6,?,?,6,'06122',3,2012,1,2012,84,'TAPS02301Q','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
145,'A2258',54,60,66,180,'06122',3,2012,3,2012,100,'SAPC10000P','Scientifica',2014,109,1,0,'Cessato','Laureato',0
146,'A4048',15,33,12,60,'06122',3,2012,3,2012,84,'SAPS04401Q','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
147,'A3407',6,?,?,6,'06122',3,2012,1,2012,100,'NAPC030007','Classica',?,?,0,0,'Cessato','Rinuncia',0
148,'A3456',48,36,63,147,'06122',3,2012,3,2011,75,'AVRI01601G','Professionale-Industriale',2015,96,0,0,'Cessato','Laureato',1
149,'A2749',33,12,21,66,'06122',3,2012,3,2012,75,'FRTF020002','Tecnici-Industriali',?,?,0,0,'Attivo','Immatricolazione',4
150,'A4406',60,36,36,132,'06122',3,2012,3,2012,89,'SATF06000P','Tecnici-Industriali',2016,103,0,0,'Cessato','Laureato',2
151,'A1385',60,48,69,177,'06122',3,2012,3,2012,96,'AVPS06000B','Scientifica',2015,104,0,0,'Cessato','Laureato',1
152,'A334',27,18,18,63,'06122',3,2012,3,2011,80,'SATF06000P','Tecnici-Industriali',?,?,0,0,'Attivo','Immatricolazione',4
153,'A3978',30,24,6,60,'06122',3,2012,3,2012,90,'SAPS02401E','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
154,'A3583',54,54,72,180,'06122',3,2012,3,2012,98,'SAPS020006','Scientifica',2014,101,0,0,'Cessato','Laureato',0
155,'A338',?,?,?,?,'06122',3,2012,1,2011,73,'SAPM06000N','Magistrale',?,?,0,0,'Cessato','Rinuncia',0
156,'A2942',48,24,51,123,'06122',3,2012,3,2011,91,'SAPS09000C','Scientifica',2016,104,0,0,'Cessato','Laureato',2
157,'A650',60,42,45,147,'06122',3,2012,3,2012,97,'SAPS18000P','Scientifica',2015,94,0,0,'Cessato','Laureato',1
158,'A3100',48,54,63,165,'06122',3,2012,3,2012,100,'NAPM130008','Scientifica',2015,103,0,0,'Cessato','Laureato',1
159,'A1457',12,21,24,57,'06122',3,2012,3,2012,82,'BNPS010006','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
160,'A915',54,36,36,126,'06122',3,2012,3,2012,83,'SAPS170004','Scientifica',2016,97,0,0,'Cessato','Laureato',2
161,'A3144',?,?,?,?,'06122',3,2012,1,2010,70,'NAPC19000Q','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
162,'A2263',15,33,18,66,'06122',3,2012,3,2012,95,'SAPS08000T','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
163,'A3083',42,36,18,96,'06122',3,2012,3,2010,65,'SATD18000E','Geometra',2016,105,0,0,'Cessato','Laureato',2
164,'A2420',30,42,24,96,'06122',3,2012,3,2011,86,'SAPS04000B','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
165,'A3578',42,42,51,135,'06122',3,2012,3,2012,84,'AVPC05000N','Classica',2015,103,0,0,'Cessato','Laureato',1
166,'A844',33,27,54,114,'06122',3,2012,3,2012,79,'NAPS180008','Scientifica',2017,95,0,0,'Cessato','Laureato',3
167,'A857',45,39,51,135,'06122',3,2012,3,2012,80,'SAPS18000P','Scientifica',2016,93,0,0,'Cessato','Laureato',2
168,'A2570',?,?,?,0,'06122',3,2012,1,2012,80,'AVPM040007','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
169,'A2370',54,54,72,180,'06122',3,2012,3,2012,100,'SAPS020006','Scientifica',2014,109,0,0,'Cessato','Laureato',0
170,'A3730',6,?,?,6,'06122',3,2012,1,2012,76,'CEPM010008','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
171,'A3825',54,36,30,120,'06122',3,2012,3,2012,100,'SAPS020006','Scientifica',2016,104,0,0,'Cessato','Laureato',2
172,'A3879',48,60,72,180,'06122',3,2012,3,2012,100,'SAPS04401Q','Scientifica',2014,111,0,0,'Cessato','Laureato',0
173,'A1215',27,51,18,96,'06122',3,2012,3,2012,71,'CEPS875001','Scientifica',2017,94,0,0,'Cessato','Laureato',3
174,'A3845',21,?,?,21,'06122',3,2012,2,2011,84,'SAPS09000C','Scientifica',?,?,0,0,'Cessato','Decadenza',0
175,'A3168',54,42,57,153,'06122',3,2012,3,2012,92,'SAPS18000P','Scientifica',2015,104,0,0,'Cessato','Laureato',1
176,'A2445',27,9,6,42,'06122',3,2012,3,2011,93,'NAPS160003','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
177,'A1129',21,39,60,120,'06122',3,2012,3,2012,84,'CEPC015007','Classica',2015,96,0,0,'Cessato','Laureato',1
178,'A2558',15,?,?,15,'06122',3,2012,3,2012,76,'SAPS01000G','Scientifica',?,?,0,0,'Cessato','Decadenza',1
179,'A1427',36,18,30,84,'06122',3,2012,3,2012,96,'SAPS10000T','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
180,'A1412',21,45,30,96,'06122',3,2012,3,2012,95,'AVPC05000N','Classica',2017,95,0,0,'Cessato','Laureato',3
181,'A4361',?,?,?,0,'06122',3,2012,1,2012,60,'NAPSO4500F','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
182,'A2579',?,?,?,0,'06122',3,2012,3,2011,83,'AVPS12000T','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
183,'A3553',54,54,72,180,'06122',3,2012,3,2012,100,'SAPS18000P','Scientifica',2014,103,0,0,'Cessato','Laureato',0
184,'A641',?,?,?,?,'06122',3,2012,1,2012,66,'SATL03401B','Geometra',?,?,0,0,'Cessato','Rinuncia',0
185,'A3242',21,45,24,90,'06122',3,2012,3,2010,82,'SAPM06000N','Magistrale',?,?,0,0,'Attivo','Immatricolazione',4
186,'A35',15,51,30,96,'06122',3,2012,3,2012,74,'SAPS18000P','Scientifica',2016,99,0,0,'Cessato','Laureato',2
187,'A3227',21,30,21,72,'06122',3,2012,3,2011,80,'SAPS08000T','Scientifica',?,?,0,0,'Attivo','Immatricolazione',4
188,'A83',?,?,?,?,'06122',3,2012,1,2012,75,'NAPS41500Q','Scientifica',?,?,0,0,'Cessato','Errata-Immatricolazione',0
189,'A4961',27,12,6,45,'06122',3,2012,3,2012,87,'CEPS875001','Scientifica',?,?,0,0,'Sospeso','Trasferimento-Uscita',0
190,'A3104',?,?,?,?,'06122',3,2012,1,2012,66,'SATF08000X','Tecnici-Industriali',?,?,0,0,'Cessato','Rinuncia',0
191,'A1668',36,42,51,129,'06122',3,2012,3,2012,95,'SAPS01000G','Scientifica',2016,105,0,0,'Cessato','Laureato',2
192,'A4544',51,27,18,96,'06122',3,2012,3,2012,100,'NAPC080008','Classica',2016,96,0,0,'Cessato','Laureato',2
193,'A419',21,45,42,108,'06122',3,2012,3,2012,84,'SAPS05701T','Scientifica',2017,96,0,0,'Cessato','Laureato',3
194,'A3862',?,?,?,?,'06122',3,2012,1,2012,95,'SAPS18000P','Scientifica',?,?,0,0,'Cessato','Errata-Immatricolazione',0
195,'A1307',33,57,12,102,'06122',3,2012,3,2012,77,'SAPS08000T','Scientifica',2016,111,0,0,'Cessato','Laureato',2
196,'A91',21,?,?,21,'06122',3,2012,2,2012,82,'SAPC05000V','Classica',?,?,0,0,'Cessato','Rinuncia',0
197,'A1737',?,?,?,?,'06122',3,2012,1,2012,84,'SAPS08000T','Scientifica',?,?,0,0,'Cessato','Errata-Immatricolazione',0
198,'A2619',18,36,24,78,'06122',3,2011,3,2010,86,'SAPS18000P','Scientifica',2016,90,0,0,'Cessato','Laureato',3
199,'A1973',45,21,48,114,'06122',3,2012,3,2012,86,'CBPM00701N','Scientifica',2017,103,0,0,'Cessato','Laureato',3
200,'A3081',?,?,?,?,'06122',3,2012,1,2012,83,'PZPS01901V','Scientifica',?,?,0,0,'Cessato','Errata-Immatricolazione',0
